Paperback_ID,Paperback_Title,Material_Subject,Paperback_Author,Paperback_Publisher,Paperback_Price,Paperback_Rating,Paperback_No_of_Ratings,Paperback_URL,Image Links
78,LINEAR ALGEBRA,Linear Algebra,"Stephen Friedberg, Arnold J. Insel, Lawreence E. Spence",Pearson Education India,580,4.4,493,https://amzn.in/d/cPjTJ5l,https://drive.google.com/uc?id=1xf_V1KOYybZwmGYJiMlg_OtzYWUHx2RE 
79,Linear Algebra and its Applications,Linear Algebra,Gilbret Strang,Cengage India Private Limited,695,4.6,708,https://amzn.in/d/h46dML4,https://drive.google.com/uc?id=12FgOh7AB7l3D1vBHHmbHi4XwgaeFbGiE 
80,Linear Algebra,Linear Algebra,Kenneth M Hoffman,Pearson Education India,500,4.4,681,https://amzn.in/d/7g1rYis,https://drive.google.com/uc?id=1lgVN9jcgorRx4rKZVq2ga_YOzIL0S9up 
81,Matrices and Linear Algebra ,Linear Algebra,"Hans Schneider, George Philip Barker",Dover Pubns,1549.09,4.3,59,https://amzn.in/d/aEvtXSD,https://drive.google.com/uc?id=1X0PD_RpNYQfc06osEaqBEF_e-L04n4pw 
82,Linear Algebra and Its Applications,Linear Algebra,David C. Lay,Pearson Education India,869,3.9,6,https://amzn.in/d/icxEGGG,https://drive.google.com/uc?id=1Oa5mUJTup3g1u2_tk8dbgdKgnHV5mFVT 
83,Linear Algebra Mathematics Book,Linear Algebra,"Vikas Yadac, Omkar Girkar, Gaurav Agnihotri",IFAS Publications,795,5,6,https://amzn.in/d/9BFqDM6,https://drive.google.com/uc?id=1rFvOryH4IrwBYd4B426SqEvAgkSvU0sN 
84,LINEAR ALGEBRA: A GEOMETRIC APPROACH,Linear Algebra,S. Kumaresan,Prentice-Hall of India,395,4.5,244,https://amzn.in/d/6GuZNFR,https://drive.google.com/uc?id=1ETOUZ6JjUAuEq-JxVcgxBLuoVS7AbVb5 
85,LINEAR ALGEBRA,Linear Algebra,Georgi E. Shilov,Dover Pubns,1631,4.6,314,https://amzn.in/d/5YYuz7A,https://drive.google.com/uc?id=1khmc5tv4swMKurGe8SMC7aLSGaPZnRjx 
86,LINEAR ALGEBRA,Linear Algebra,Kuldeep Singh,Oxford University Press,1350,4.5,89,https://amzn.in/d/9KiHniV,https://drive.google.com/uc?id=13p5BPGDL1URvItZ3KteI40LBIpJCAL_m 
87,An Introduction to Linear Algebra,Linear Algebra,L. Mirsky,Dover Pubns,1962,4.7,14,https://amzn.in/d/eoA2aMr,https://drive.google.com/uc?id=1Wl6-Bd9NGmUPBCi-enTt_qjjMGNMdxdg 
88,Database Management Systems ,DBMS,Rajiv Chopra,S Chand,650,4.2,99,https://amzn.in/d/94uNf1l,https://drive.google.com/uc?id=1zEw8NCzXIVdBuJoD7Up_HLOmXRZODgW9 
89,Database Management Systems,DBMS,"Raghu Ramakrishnan, Johannes Gehrke",McGraw Hill Education,211,4.1,87,https://amzn.in/d/06yBLw1,https://drive.google.com/uc?id=1h5sTSbk16lYXCNfnJDqveD2Ya-twDm92 
90,Concept of Database Management Systems,DBMS,V K Pallaw,Asian Books Private Limited,350,5,3,https://amzn.in/d/i9HLXUZ,https://drive.google.com/uc?id=1q46q5dwKvIRNY9OF-TO8gAchsVCubIwA 
91,Fundamentals of Database System,DBMS,"Ramez Elmashri, Shamkant B. Navathe",Pearson Education India,899,4.4,655,https://amzn.in/d/6DCzhuC,https://drive.google.com/uc?id=1ywjktKvbyrAuccoX9G_NQgpAfPy9qD3i 
92,Express Learning Database Management Systems,DBMS,ITL ESL ,Pearson Education India,825,4.4,23,https://amzn.in/d/fsENv6w,https://drive.google.com/uc?id=1OMuMCt41xS7sMEGJyM5-tQqkvhNlQpeA 
93,Advanced Database Management System,DBMS,"Sanjeev Sharma, Jitendra Agrawal, Shikha Agrawal",Dreamtech Press,250,4.6,3,https://amzn.in/d/e4G74Vn,https://drive.google.com/uc?id=1t6XJCrQAcDM_x4_NbayPUtXySJMtJ-d7 
94,Decode Database Management Systems for JNTU-H ,DBMS,A. A. Puntambekar,Technical Publications,225,4.6,20,https://amzn.in/d/iPdtNjT,https://drive.google.com/uc?id=17865MY0MWmqguUVR5BYYDXBTuf123PYt 
95,INTRODUCTION TO DATABASE MANAGEMENT SYSTEMS,DBMS,Atul Kahate,Pearson Education India,820,3.5,10,https://amzn.in/d/1nUJ2VD,https://drive.google.com/uc?id=1B-UALRq3ZUDdN75yjWTCqBEX4_XvbI-h 
96,DATABASE MANAGEMENT SYSTEM,DBMS,"Arun K. Majumdar, Pritimoy Bhattacharya",McGraw Hill Education,955,3.5,4,https://amzn.in/d/8mZ63K1,https://drive.google.com/uc?id=1i1R5SnM7LxF1v-x1_FEgeU-jfcQ981Lb 
